Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 64.0.3282.167,,2018-02-15 14:41:54,2018-02-15 14:42:36,41.889s,PASSED
,,,,,,
Test Cases/LSCActivityCalcTest,Chrome 64.0.3282.167,Testing Transformation Script on the VIVOAssay/Sample/LSC Assay,2018-02-15 14:41:55,2018-02-15 14:42:36,41.466s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-15 14:41:55,2018-02-15 14:42:08,12.692s,PASSED
mouseOver,Chrome 64.0.3282.167,,2018-02-15 14:42:08,2018-02-15 14:42:09,1.585s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-15 14:42:09,2018-02-15 14:42:12,2.561s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:12,2018-02-15 14:42:14,2.092s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:14,2018-02-15 14:42:16,1.548s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:16,2018-02-15 14:42:17,1.056s,PASSED
selectOptionByLabel,Chrome 64.0.3282.167,,2018-02-15 14:42:17,2018-02-15 14:42:17,0.221s,PASSED
selectOptionByLabel,Chrome 64.0.3282.167,,2018-02-15 14:42:17,2018-02-15 14:42:17,0.196s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:17,2018-02-15 14:42:18,0.738s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-15 14:42:18,2018-02-15 14:42:18,0.215s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-15 14:42:18,2018-02-15 14:42:19,1.206s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:19,2018-02-15 14:42:28,8.387s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:28,2018-02-15 14:42:30,2.386s,PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-02-15 14:42:30,2018-02-15 14:42:30,0.069s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:42:30,2018-02-15 14:42:30,0.281s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:42:30,2018-02-15 14:42:31,0.156s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:42:31,2018-02-15 14:42:31,0.239s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:42:31,2018-02-15 14:42:31,0.166s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:42:31,2018-02-15 14:42:31,0.270s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:31,2018-02-15 14:42:33,1.362s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:33,2018-02-15 14:42:33,0.225s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:33,2018-02-15 14:42:34,0.772s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:42:34,2018-02-15 14:42:34,0.096s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:42:34,2018-02-15 14:42:35,1.088s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-15 14:42:35,2018-02-15 14:42:36,1.142s,PASSED
